Mes;visitas
01/jan/04;78
01-feb-2004;72
01/mar/04;76
01-apr-2004;75
01-may-2004;80
01/jun/04;88
01/jul/04;95
01-aug-2004;91
01-sep-2004;72
01-oct-2004;57
01/nov/04;55
01-dec-2004;59
01/jan/05;73
01-feb-2005;71
01/mar/05;73
01-apr-2005;71
01-may-2005;77
01/jun/05;88
01/jul/05;100
01-aug-2005;90
01-sep-2005;65
01-oct-2005;59
01/nov/05;57
01-dec-2005;55
01/jan/06;70
01-feb-2006;65
01/mar/06;69
01-apr-2006;71
01-may-2006;73
01/jun/06;83
01/jul/06;93
01-aug-2006;81
01-sep-2006;58
01-oct-2006;54
01/nov/06;51
01-dec-2006;52
01/jan/07;66
01-feb-2007;64
01/mar/07;66
01-apr-2007;67
01-may-2007;71
01/jun/07;79
01/jul/07;89
01-aug-2007;77
01-sep-2007;57
01-oct-2007;50
01/nov/07;46
01-dec-2007;48
01/jan/08;62
01-feb-2008;62
01/mar/08;65
01-apr-2008;64
01-may-2008;69
01/jun/08;77
01/jul/08;84
01-aug-2008;78
01-sep-2008;55
01-oct-2008;48
01/nov/08;44
01-dec-2008;48
01/jan/09;60
01-feb-2009;58
01/mar/09;62
01-apr-2009;66
01-may-2009;68
01/jun/09;76
01/jul/09;87
01-aug-2009;76
01-sep-2009;56
01-oct-2009;48
01/nov/09;46
01-dec-2009;45
01/jan/10;59
01-feb-2010;58
01/mar/10;63
01-apr-2010;64
01-may-2010;67
01/jun/10;79
01/jul/10;91
01-aug-2010;77
01-sep-2010;58
01-oct-2010;49
01/nov/10;47
01-dec-2010;48
01/jan/11;60
01-feb-2011;58
01/mar/11;61
01-apr-2011;63
01-may-2011;67
01/jun/11;79
01/jul/11;88
01-aug-2011;75
01-sep-2011;56
01-oct-2011;49
01/nov/11;46
01-dec-2011;49
01/jan/12;59
01-feb-2012;61
01/mar/12;62
01-apr-2012;64
01-may-2012;69
01/jun/12;80
01/jul/12;87
01-aug-2012;79
01-sep-2012;57
01-oct-2012;50
01/nov/12;46
01-dec-2012;48
01/jan/13;57
01-feb-2013;57
01/mar/13;62
01-apr-2013;62
01-may-2013;66
01/jun/13;76
01/jul/13;88
01-aug-2013;77
01-sep-2013;56
01-oct-2013;49
01/nov/13;46
01-dec-2013;48
01/jan/14;61
01-feb-2014;58
01/mar/14;63
01-apr-2014;65
01-may-2014;69
01/jun/14;79
01/jul/14;87
01-aug-2014;76
01-sep-2014;55
01-oct-2014;49
01/nov/14;47
01-dec-2014;51
01/jan/15;60
01-feb-2015;60
01/mar/15;65
01-apr-2015;67
01-may-2015;71
01/jun/15;81
01/jul/15;93
01-aug-2015;80
01-sep-2015;62
01-oct-2015;52
01/nov/15;47
01-dec-2015;53
01/jan/16;62
01-feb-2016;64
01/mar/16;69
01-apr-2016;68
01-may-2016;73
01/jun/16;82
01/jul/16;91
01-aug-2016;85
01-sep-2016;61
01-oct-2016;55
01/nov/16;48
01-dec-2016;51
01/jan/17;62
01-feb-2017;63
01/mar/17;66
01-apr-2017;70
01-may-2017;71
01/jun/17;85
01/jul/17;96
01-aug-2017;80
01-sep-2017;63
01-oct-2017;52
01/nov/17;48
01-dec-2017;51
01/jan/18;62
01-feb-2018;61
01/mar/18;65
01-apr-2018;68
01-may-2018;72
01/jun/18;83
01/jul/18;92
01-aug-2018;78
01-sep-2018;59
01-oct-2018;53
01/nov/18;47
01-dec-2018;52
01/jan/19;61
01-feb-2019;60
01/mar/19;64
01-apr-2019;65
01-may-2019;68
01/jun/19;86
01/jul/19;88
01-aug-2019;80
01-sep-2019;59
01-oct-2019;51
01/nov/19;49
01-dec-2019;52
